species_code,common_name,scientific_name,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_cna,over_upper95,under_lower95
gresca,Greater Scaup,Aythya marila,0.36601052040339527,0.00691755460211305,0.35245211338325366,0.3795689274235369,Water/wetland,NA,0.24220894759150913,0,1
canvas,Canvasback,Aythya valisineria,0.3699931705584406,0.01881613086643871,0.33311355406022075,0.40687278705666047,Water/wetland,NA,0.3691619773770981,0,0
blctit4,Black-crested Titmouse,Baeolophus atricristatus,0.3700601174187357,0.00341194474992876,0.3633727057088753,0.3767475291285961,Aridlands,NA,0.631908236943076,1,0
tuftit,Tufted Titmouse,Baeolophus bicolor,0.3700006123571758,9.617067855162796e-4,0.3681156670575639,0.3718855576567877,Forest,NA,0.7555381523236591,1,0
oaktit,Oak Titmouse,Baeolophus inornatus,0.3701076916158272,0.00507804005440612,0.36015473310919116,0.3800606501224632,Forest,NA,0.7422918429392666,1,0
juntit1,Juniper Titmouse,Baeolophus ridgwayi,0.3700258041226423,0.00284984469110289,0.3644401085280807,0.375611499717204,Forest,NA,0.22526718012596805,0,1
britit,Bridled Titmouse,Baeolophus wollweberi,0.3701895385514362,0.00816491932027052,0.35418629668370605,0.3861927804191665,Forest,NA,0.45616382701700786,1,0
uplsan,Upland Sandpiper,Bartramia longicauda,0.3699981803067202,0.00119456237294339,0.3676568380557512,0.3723395225576893,Grasslands,NA,0.46210566108272255,1,0
cedwax,Cedar Waxwing,Bombycilla cedrorum,0.3699665873855497,6.003673593109658e-4,0.3687898673613002,0.3711433074097992,Forest,NA,0.574872033743727,1,0
bohwax,Bohemian Waxwing,Bombycilla garrulus,0.36999478784153605,0.00311654352223021,0.3638863625379648,0.3761032131451073,Forest,NA,0.20346030898388356,0,1
rufgro,Ruffed Grouse,Bonasa umbellus,0.3699615102224316,0.00196693842276683,0.36610631091380863,0.3738167095310546,Forest,NA,0.6087263076926508,1,0
amebit,American Bittern,Botaurus lentiginosus,0.36988297780332985,0.00165259520902795,0.36664389119363505,0.37312206441302465,Water/wetland,NA,0.4128024735630955,1,0
brant,Brant,Branta bernicla,0.3664602709732614,0.01154038843756483,0.3438411096356343,0.3890794323108885,Water/wetland,NA,0.35350881222198266,0,0
cangoo,Canada Goose,Branta canadensis,0.36992734413352246,0.00120060879885223,0.36757415088777207,0.37228053737927286,Water/wetland,NA,0.36288866769263073,0,1
cacgoo1,Cackling Goose,Branta hutchinsii,0.36939769216995016,0.00349367171782853,0.3625500956030062,0.3762452887368941,Water/wetland,NA,0.26715648742888715,0,1
snoowl1,Snowy Owl,Bubo scandiacus,0.3645366497595484,0.0028443611259402,0.3589617019527056,0.3701115975663912,Water/wetland,Tipping Point,0.134558670045827,0,1
grhowl,Great Horned Owl,Bubo virginianus,0.3700248303501269,6.335703959823176e-4,0.3687830323740016,0.37126662832625223,Habitat Generalist,NA,0.3673989690103312,0,1
categr,Cattle Egret,Bubulcus ibis,0.36954917324756725,0.00501647834165756,0.35971687569791844,0.37938147079721607,Water/wetland,NA,0.59929499750025494,1,0
buffle,Bufflehead,Bucephala albeola,0.3668730120682601,0.00280440519017283,0.36137637789552135,0.3723696462409989,Water/wetland,NA,0.35999469629006775,0,1
comgol,Common Goldeneye,Bucephala clangula,0.36784759706973086,0.00421372780837048,0.3595886905653247,0.376106503574137,Water/wetland,NA,0.2980794336213111,0,1
bargol,Barrow's Goldeneye,Bucephala islandica,0.3623226429578461,0.00502628810400606,0.35247111827399424,0.372174167641698,Water/wetland,NA,0.30920997949209905,0,1
rethaw,Red-tailed Hawk,Buteo jamaicensis,0.3699281500724051,4.5360632302085703e-4,0.3690390816792843,0.370817218465526,Habitat Generalist,NA,0.3769745543197587,1,0
rolhaw,Rough-legged Hawk,Buteo lagopus,0.3697023827675869,8.714750855484362e-4,0.3679942915999119,0.37141047393526183,Water/wetland,NA,0.2437145531054421,0,1
reshaw,Red-shouldered Hawk,Buteo lineatus,0.3699698963841185,9.200965294038452e-4,0.36816650718648697,0.37177328558175,Forest,NA,0.6927128858572398,1,0
brwhaw,Broad-winged Hawk,Buteo platypterus,0.3699462452500955,0.0034246725532737,0.36323388704567905,0.376658603454512,Forest,NA,0.6460707827678446,1,0
ferhaw,Ferruginous Hawk,Buteo regalis,0.3700304159061726,0.00127314352714757,0.3675350545929633,0.37252577721938185,Grasslands,NA,0.34791206094560656,0,1
swahaw,Swainson's Hawk,Buteo swainsoni,0.3700954982422196,0.00224988746001514,0.3656857188205899,0.3745052776638493,Grasslands,NA,0.4344791728910762,1,0
grnher,Green Heron,Butorides virescens,0.3697966346429584,0.00100234634597334,0.36783203580485063,0.3717612334810661,Water/wetland,NA,0.506454388195344,1,0
larbun,Lark Bunting,Calamospiza melanocorys,0.3700961540447405,0.00171979316608192,0.3667253594392199,0.3734669486502611,Grasslands,NA,0.4270067249783922,1,0
laplon,Lapland Longspur,Calcarius lapponicus,0.36834301722975227,0.00238354189803196,0.3636712751096096,0.3730147593498949,Water/wetland,NA,0.26928348400283003,0,1
chclon,Chestnut-collared Longspur,Calcarius ornatus,0.37004696403398496,0.00204305484256555,0.36604257654255645,0.37405135152541347,Grasslands,Tipping Point,0.3737635058380003,0,0
smilon,Smith's Longspur,Calcarius pictus,0.36991488654078264,0.00352035730788789,0.3630149862173224,0.3768147868642429,Water/wetland,NA,0.25735014818751567,0,1
sander,Sanderling,Calidris alba,0.35909479402198935,0.01103025202960268,0.3374755000439681,0.3807140880000106,Water/wetland,NA,0.5260660420711192,1,0
dunlin,Dunlin,Calidris alpina,0.3638878406311082,0.0097228984530027,0.3448309596632228,0.38294472159899345,Water/wetland,NA,0.31971369728109045,0,1
baisan,Baird's Sandpiper,Calidris bairdii,0.36998618395511257,0.00206124802651686,0.3659461378231395,0.3740262300870856,Water/wetland,NA,0.2828068909398316,0,1
redkno,Red Knot,Calidris canutus,0.35558091143503767,0.04015697112669111,0.2768732480267231,0.43428857484335226,Water/wetland,Tipping Point,0.48550652142268935,1,0
whrsan,White-rumped Sandpiper,Calidris fuscicollis,0.36963489916435094,0.00257227269162063,0.3645932446887745,0.37467655363992736,Water/wetland,NA,0.23682926499666565,0,1
stisan,Stilt Sandpiper,Calidris himantopus,0.36992070631271967,0.00278631023158988,0.3644595382588035,0.37538187436663584,Water/wetland,Tipping Point,0.21056892225968235,0,1
pursan,Purple Sandpiper,Calidris maritima,0.338974708119259,0.03772047377551985,0.2650425795192401,0.4129068367192779,Water/wetland,NA,0.8086838684673694,1,0
wessan,Western Sandpiper,Calidris mauri,0.3654837313219336,0.01100883337025478,0.3439064179162342,0.38706104472763303,Water/wetland,NA,0.3469566056071206,0,0
pecsan,Pectoral Sandpiper,Calidris melanotos,0.36941867556502694,0.00354645080450797,0.3624676319881913,0.37636971914186257,Water/wetland,Tipping Point,0.1171791187637665,0,1
leasan,Least Sandpiper,Calidris minutilla,0.3695354623893341,0.0026999193147902,0.3642436205323453,0.3748273042463229,Water/wetland,NA,0.2076846364043484,0,1
rocsan,Rock Sandpiper,Calidris ptilocnemis,0.35980323611965676,0.01715377896955665,0.3261818293393257,0.3934246428999878,Water/wetland,Tipping Point,0.4225549073476853,1,0
semsan,Semipalmated Sandpiper,Calidris pusilla,0.3678016536809752,0.00750874865959108,0.35308450630817667,0.3825188010537738,Water/wetland,Tipping Point,0.20997599343692908,0,1
bubsan,Buff-breasted Sandpiper,Calidris subruficollis,0.3696495851332432,0.00852775130724921,0.35293519257103473,0.38636397769545167,Water/wetland,Tipping Point,0.23761516817607,0,1
surfbi,Surfbird,Calidris virgata,0.3375142220301759,0.00915035982679856,0.31957951676965074,0.35544892729070104,Water/wetland,Tipping Point,0.5570263051730535,1,0
calqua,California Quail,Callipepla californica,0.3699589882648442,0.00264228481363967,0.3647801100301104,0.375137866499578,Aridlands,NA,0.47992441135645647,1,0
gamqua,Gambel's Quail,Callipepla gambelii,0.37021389692576767,0.00311327150184321,0.36411188478215495,0.3763159090693804,Aridlands,NA,0.209440231932831,0,1
scaqua,Scaled Quail,Callipepla squamata,0.3700549601831328,0.00271694005701592,0.3647297576713816,0.37538016269488406,Aridlands,NA,0.4903940231837396,1,0
annhum,Anna's Hummingbird,Calypte anna,0.3700003836535621,0.00282827981757698,0.3644569552111112,0.37554381209601295,Aridlands,NA,0.5332094066198678,1,0
