species,avg,stdev,lower95,upper95
bncfly,0.09965820107742024,0.0021592582146529515,0.09542605497670045,0.10389034717814002
bnhcow,0.10002332423760235,0.0015804000107563256,0.09692574021651995,0.10312090825868475
bnhnut,0.10008259447174568,0.0015406976334067452,0.09706282711026847,0.1031023618332229
boboli,0.09994079765968968,0.0023627844296266196,0.0953097401776215,0.10457185514175785
bohwax,0.09971124862474762,0.0020413922842824695,0.09571011974755397,0.10371237750194126
bongul,0.10015959550818794,0.004967505825902296,0.09042328408941944,0.10989590692695644
borchi2,0.09994270977071136,0.0011331679893825625,0.09772170051152154,0.10216371902990118
botgra,0.1006659537776011,0.0060638913696977005,0.08878072669299361,0.11255118086220858
brant,0.10061185353377608,0.01781167793097465,0.06570096478906576,0.1355227422784864
brdowl,0.10003288980277901,6.069530987724848e-4,0.09884326172918494,0.10122251787637308
brebla,0.09993177211051431,7.543827812867643e-4,0.09845318185919225,0.10141036236183637
brespa,0.1000197483207963,7.629819066322644e-4,0.09852430378379706,0.10151519285779553
britit,0.10023533967556432,0.005050700979975556,0.09033596575481223,0.11013471359631641
brncre,0.09997912073542264,5.156514105590045e-4,0.098968443970727,0.10098979750011829
brnowl,0.09985762027998249,0.0020883347118111676,0.0957644842448326,0.10395075631513238
brnthr,0.0999971373869657,4.075076392805526e-4,0.0991984224139758,0.10079585235995558
brocow,0.0996267670762772,0.004302496884607038,0.0911938731824474,0.108059660970107
brthum,0.10000645039724201,0.0014105588569466414,0.0972417550376266,0.10277114575685743
brwhaw,0.09994058665958151,0.002149697545968606,0.09572717946948305,0.10415399384967998
btbwar,0.10005698975111357,0.00120361546391976,0.09769790344183084,0.10241607606039631
btnwar,0.0999906923432934,6.903462348552995e-4,0.09863761372297701,0.10134377096360979
btywar,0.1000525688408928,0.0010414205321331736,0.09801138459791177,0.10209375308387382
bubsan,0.09986264170644715,0.005394413581153944,0.08928959108738542,0.11043569232550889
buffle,0.10009091720486886,0.0018131326617631324,0.09653717718781311,0.1036446572219246
buggna,0.10003626617128054,5.080832601669641e-4,0.0990404229813533,0.1010321093612078
buhvir,0.10002228533866486,6.552978890021102e-4,0.09873790147622073,0.10130666920110899
bulori,0.09995742233844905,6.398924615487848e-4,0.09870323311381343,0.10121161156308467
burowl,0.10004674409677801,0.0011585249044529565,0.09777603528405021,0.10231745290950581
bushti,0.09996534565492983,0.001284115437928905,0.09744847939658918,0.10248221191327048
buwtea,0.09998405927925627,0.0010402749327136365,0.09794512041113754,0.102022998147375
buwwar,0.100010998731583,0.001152084264071447,0.09775291357400297,0.10226908388916305
cacgoo1,0.09997527666329686,0.0020261031165260657,0.09600411455490578,0.10394643877168795
cacwre,0.0996917514960176,0.001763571916301271,0.09623515054006711,0.10314835245196809
calgul,0.10014224925521867,0.03152168814272629,0.03835974049547514,0.1619247580149622
calhum,0.10004364456493722,0.0013509894236357568,0.09739570529461114,0.1026915838352633
calqua,0.09987084491435697,0.001621322661909815,0.09669305249701372,0.10304863733170021
calthr,0.10022403395914126,0.003986385460282546,0.09241071845698746,0.10803734946129505
caltow,0.09972537122119775,0.003118792316159068,0.09361253828152598,0.10583820416086952
camwar,0.1000943009082309,9.329733177623268e-4,0.09826567320541674,0.10192292861104507
cangoo,0.09989621096491777,6.334192337220511e-4,0.09865470926682254,0.101137712663013
cantow,0.099897987756693285,0.0018690777451540802,0.09623459537619129,0.10356138013719528
canvas,0.10072283880297898,0.013425161018575528,0.07440952320657095,0.127036154399387
