species,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_cna
grpchi,0.36983341599528025,0.00342687739251098,0.3631167363059587,0.3765500956846018,Grasslands,NA,0.6669225863536212
grtgra,0.3695359289817759,0.00388502737224268,0.3619212753321802,0.3771505826313716,Habitat Generalist,NA,0.3078958688055988
grycat,0.3699325245635108,7.86481385426893e-4,0.36839102104807414,0.3714740280789475,Forest,NA,0.515063260688168
gryfly,0.3699868219986078,0.00128552520372774,0.3674671925993014,0.37250645139791416,Forest,NA,0.18823255890023805
gryjay,0.3700298198370154,0.001420711266438,0.3672452257547968,0.3728144139192338,Forest,NA,0.11770546876251052
grykin,0.3694723623938562,0.02710726989761286,0.316342113394535,0.42260261139317745,Forest,NA,0.29712469628157123
gryvir,0.3700086417640265,0.00306287714521185,0.3640054025594113,0.3760118809686417,Forest,NA,0.237184033131868
gwfgoo,0.369772939792811,0.0021622578268895,0.3655349144521075,0.3740109651335145,Water/wetland,NA,0.14249602836394068
gycthr,0.3697777865348321,0.0012252245868894,0.36737634634452887,0.37217922672513537,Forest,NA,0.12955099892468103
haiwoo,0.369999254494992,7.242268095417916e-4,0.36857976994829006,0.3714187390416939,Forest,NA,0.5800612874613944
hamfly,0.3699911885831351,0.00152024338378927,0.36701151155090816,0.3729708656153621,Forest,NA,0.40442663573201143
harduc,0.3140343424226001,0.00609098788493584,0.3020960061681258,0.32597267867707436,Water/wetland,NA,0.4473537693751552
harspa,0.3699718948441619,0.00167460808009736,0.36668966300717104,0.3732541266811527,Water/wetland,Tipping Point,0.42841975762391504
henspa,0.3699843377012418,0.0028177330615082,0.3644615809006856,0.3755070945017978,Grasslands,Tipping Point,0.5028802964513931
heptan,0.370075372926907,0.0048522950136956,0.3605648747000636,0.3795858711537504,Forest,NA,0.4405742747680321
hergul,0.3641918273566955,0.00822870610015474,0.3480635634003922,0.3803200913129987,Water/wetland,NA,0.24790474110344896
herthr,0.3695648713423982,6.86744306211332e-4,0.368218852502224,0.3709108901825724,Forest,NA,0.4873168834761481
herwar,0.37013490059905335,0.00333452156536272,0.3635992383309424,0.3766705628671642,Forest,NA,0.6111223673113231
hoared,0.3684361469241628,0.0019233373757262,0.3646664056677394,0.37220588818058614,Water/wetland,NA,0.01900371332915618
hoomer,0.3700526115719748,0.00233356850004551,0.3654788173118856,0.374626405832064,Water/wetland,NA,0.44883433636506087
hooori,0.370090698958496,0.00308356262662785,0.3640469162103054,0.3761344817066866,Aridlands,NA,0.3346846196559454
hoowar,0.36999744655739575,0.00167921838504027,0.3667061785227168,0.3732887145920747,Forest,NA,0.878423358981457
horgre,0.36281837038186954,0.00426139750363783,0.3544660312747394,0.37117070948899966,Water/wetland,NA,0.40442365068356345
horlar,0.3699743216622875,0.00125902489191895,0.3675066328741263,0.3724420104504486,Grasslands,NA,0.23730160542968093
houfin,0.3699991450349669,0.00136090622099175,0.36733176884182306,0.3726665212281107,Habitat Generalist,NA,0.3527960702303403
houwre,0.3699909450681896,5.418105897420248e-4,0.36892899631229525,0.371052893824084,Forest,NA,0.4233773802844143
hrshaw,0.3701364164092815,0.00561956062493006,0.3591220775844186,0.3811507552341444,Aridlands,NA,0.3105104130213192
hudgod,0.3698680884885639,0.00340358876282298,0.3631970545134308,0.376539122463697,Water/wetland,Tipping Point,0.19622783837410757
hutvir,0.3699527350632096,0.00332187017020259,0.3634418695296125,0.3764636005968066,Forest,NA,0.6055047684068313
