species,avg,stdev,lower95,upper95
hamfly,0.3700239697058303,0.0016668894413631346,0.36675686640075855,0.37329107301090203
harduc,0.37008265040380134,0.008591871170664457,0.353242582909299,0.3869227178983037
harspa,0.36996091117682617,0.0016492554868863583,0.3667283704225289,0.3731934519311234
henspa,0.370042801008748,0.002981304141896399,0.36419944489063105,0.3758861571268649
heptan,0.369967951515237,0.00492669355196312,0.36031163215338924,0.3796242708770847
hergul,0.3698371961044347,0.010546038004263408,0.34916696161607846,0.39050743059279097
herthr,0.3700261312973637,7.073081095847826e-4,0.36863980740257757,0.3714124551921499
herwar,0.3700458995416384,0.0033111236304758144,0.3635560972259058,0.376535701857371
hoared,0.36999905422503765,0.0047417137702892714,0.3607052952352707,0.3792928132148046
hoomer,0.3700988568777039,0.0022855640394989375,0.36561915136028594,0.37457856239512183
hooori,0.37016979190041355,0.003129368666894396,0.36403622931330054,0.37630335448752655
hoowar,0.3699428658747864,0.0016813094567254014,0.3666474993396046,0.37323823240996823
horgre,0.3699479166398972,0.00547138565486207,0.3592240007563675,0.38067183252342685
horlar,0.3700015797702996,0.0012644810322484797,0.3675231969470926,0.37247996259350663
houfin,0.36997883021624706,0.0014373652772370572,0.36716159427286243,0.3727960661596317
houwre,0.37002054744299184,5.007790471075865e-4,0.36903902051066095,0.37100207437532273
hrshaw,0.37007883803158775,0.005394986057094857,0.35950466535968184,0.38065301070349367
hudgod,0.370155161498275,0.0040085268629295985,0.36229844884693296,0.378011874149617
hutvir,0.36991389419199444,0.0034247341107701743,0.3632014153348849,0.37662637304910396
incdov,0.3701496567790335,0.014231418308819941,0.34225607689374643,0.39804323666432057
indbun,0.3700258925360231,8.725317277410868e-4,0.36831573034965054,0.3717360547223956
juntit1,0.3700354386425162,0.002723448096373266,0.3646974803736246,0.3753733969114078
kenwar,0.36999365557315095,0.0016649300184381855,0.3667303927370121,0.3732569184092898
killde,0.370036549793481,9.649034630105082e-4,0.3681453390059804,0.3719277605809816
