"","species_code","common_name","scientific_name","habitat","tipping_pt","avg_37pct","stdev_37pct","lower95_37pct","upper95_37pct","sum_cna","over_upper95_37pct","under_lower95_37pct","avg_44pct","stdev_44pct","lower95_44pct","upper95_44pct","sum_carbon","over_upper95_44pct","under_lower95_44pct","p_value_37pct","p_value_44pct"
"147","corfly","Cordilleran Flycatcher","Empidonax occidentalis","Forest",NA,0.37,0.0024,0.365,0.375,0.403,1,0,0.44,0.0024,0.435,0.445,0.786,1,0,0,0
"148","coshum","Costa's Hummingbird","Calypte costae","Aridlands",NA,0.37,0.0033,0.364,0.377,0.217,0,1,0.44,0.0036,0.433,0.447,0.081,0,1,0,0
"149","coukin","Couch's Kingbird","Tyrannus couchii","Aridlands",NA,0.37,0.0055,0.359,0.381,0.322,0,1,0.44,0.0056,0.429,0.451,0.069,0,1,0,0
"150","cowscj1","California Scrub-Jay","Aphelocoma californica","Forest",NA,0.37,0.0036,0.363,0.377,0.6,1,0,0.44,0.004,0.432,0.448,0.528,1,0,0,0
"151","crithr","Crissal Thrasher","Toxostoma crissale","Aridlands",NA,0.37,0.003,0.364,0.376,0.279,0,1,0.44,0.0031,0.434,0.446,0.023,0,1,0,0
"152","cubthr","Curve-billed Thrasher","Toxostoma curvirostre","Aridlands",NA,0.37,0.0029,0.365,0.376,0.401,1,0,0.44,0.0029,0.434,0.446,0.008,0,1,0,0
"153","daejun","Dark-eyed Junco","Junco hyemalis","Forest",NA,0.37,4e-04,0.369,0.371,0.443,1,0,0.44,4e-04,0.439,0.441,0.521,1,0,0,0
"154","dickci","Dickcissel","Spiza americana","Grasslands",NA,0.37,0.0013,0.367,0.373,0.381,1,0,0.44,0.0013,0.438,0.443,0.298,0,1,0,0
"155","doccor","double-crested cormorant","Nannopterum auritum","Water/wetland",NA,0.365,0.0079,0.349,0.381,0.487,1,0,0.434,0.0078,0.419,0.449,0.4,0,1,0,0
"156","dowwoo","Downy Woodpecker","Dryobates pubescens","Forest",NA,0.37,7e-04,0.369,0.371,0.611,1,0,0.44,7e-04,0.439,0.441,0.625,1,0,0,0
"157","dunlin","Dunlin","Calidris alpina","Water/wetland",NA,0.364,0.0097,0.345,0.383,0.32,0,1,0.432,0.0097,0.413,0.451,0.21,0,1,0,0
"158","dusfly","Dusky Flycatcher","Empidonax oberholseri","Forest",NA,0.37,0.0012,0.368,0.372,0.325,0,1,0.44,0.0012,0.438,0.442,0.679,1,0,0,0
"159","dusgro","Dusky Grouse","Dendragapus obscurus","Forest",NA,0.37,0.0028,0.365,0.376,0.286,0,1,0.44,0.0028,0.434,0.445,0.911,1,0,0,0
"160","eargre","Eared Grebe","Podiceps nigricollis","Water/wetland",NA,0.371,0.0177,0.336,0.405,0.068,0,1,0.438,0.0182,0.403,0.474,0.109,0,1,0,0
"161","easblu","Eastern Bluebird","Sialia sialis","Forest",NA,0.37,7e-04,0.369,0.371,0.657,1,0,0.44,8e-04,0.439,0.441,0.612,1,0,0,0
