species_code,common_name,scientific_name,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_carbon,over_upper95,under_lower95
kineid,King Eider,Somateria spectabilis,39.4%,0.79%,37.9%,40.9%,Water/wetland,Tipping Point,0.0%,0,1
norsho,Northern Shoveler,Spatula clypeata,44.0%,0.46%,43.1%,44.9%,Water/wetland,NA,21.5%,0,1
cintea,Cinnamon Teal,Spatula cyanoptera,44.0%,0.28%,43.4%,44.5%,Water/wetland,NA,15.5%,0,1
buwtea,Blue-winged Teal,Spatula discors,44.0%,0.17%,43.6%,44.3%,Water/wetland,NA,28.1%,0,1
rensap,Red-naped Sapsucker,Sphyrapicus nuchalis,44.0%,0.13%,43.7%,44.3%,Forest,NA,56.9%,1,0
rebsap,Red-breasted Sapsucker,Sphyrapicus ruber,44.0%,0.28%,43.4%,44.5%,Forest,NA,83.1%,1,0
wilsap,Williamson's Sapsucker,Sphyrapicus thyroideus,44.0%,0.23%,43.6%,44.4%,Forest,NA,83.0%,1,0
yebsap,Yellow-bellied Sapsucker,Sphyrapicus varius,44.0%,0.09%,43.8%,44.2%,Forest,NA,72.4%,1,0
lawgol,Lawrence's Goldfinch,Spinus lawrencei,44.0%,0.38%,43.3%,44.8%,Aridlands,NA,34.1%,0,1
pinsis,Pine Siskin,Spinus pinus,44.0%,0.09%,43.8%,44.1%,Forest,NA,64.1%,1,0
lesgol,Lesser Goldfinch,Spinus psaltria,44.0%,0.15%,43.7%,44.3%,Forest,NA,22.9%,0,1
amegfi,American Goldfinch,Spinus tristis,44.0%,0.05%,43.9%,44.1%,Forest,NA,52.8%,1,0
dickci,Dickcissel,Spiza americana,44.0%,0.13%,43.8%,44.3%,Grasslands,NA,29.8%,0,1
bkcspa,Black-chinned Sparrow,Spizella atrogularis,44.0%,0.44%,43.2%,44.9%,Aridlands,Tipping Point,26.4%,0,1
brespa,Brewer's Sparrow,Spizella breweri,44.0%,0.12%,43.8%,44.2%,Aridlands,NA,26.2%,0,1
clcspa,Clay-colored Sparrow,Spizella pallida,44.0%,0.10%,43.8%,44.2%,Grasslands,NA,37.9%,0,1
chispa,Chipping Sparrow,Spizella passerina,44.0%,0.05%,43.9%,44.1%,Forest,NA,50.6%,1,0
fiespa,Field Sparrow,Spizella pusilla,44.0%,0.08%,43.8%,44.2%,Forest,NA,55.0%,1,0
amtspa,American Tree Sparrow,Spizelloides arborea,44.0%,0.08%,43.8%,44.2%,Water/wetland,NA,36.3%,0,1
nrwswa,Northern Rough-winged Swallow,Stelgidopteryx serripennis,43.9%,0.15%,43.6%,44.2%,Habitat Generalist,NA,39.0%,0,1
forter,Forster's Tern,Sterna forsteri,42.8%,0.59%,41.7%,44.0%,Water/wetland,NA,46.6%,1,0
comter,Common Tern,Sterna hirundo,38.6%,2.45%,33.8%,43.4%,Water/wetland,NA,19.2%,0,1
arcter,Arctic Tern,Sterna paradisaea,42.3%,0.28%,41.8%,42.9%,Water/wetland,NA,8.2%,0,1
brdowl,Barred Owl,Strix varia,44.0%,0.11%,43.8%,44.2%,Forest,NA,73.1%,1,0
easmea,Eastern Meadowlark,Sturnella magna,44.0%,0.11%,43.8%,44.2%,Grasslands,NA,36.8%,0,1
wesmea,Western Meadowlark,Sturnella neglecta,44.0%,0.09%,43.8%,44.2%,Grasslands,NA,43.3%,0,1
treswa,Tree Swallow,Tachycineta bicolor,44.0%,2.89%,38.3%,49.6%,Habitat Generalist,NA,42.1%,0,0
vigswa,Violet-green Swallow,Tachycineta thalassina,44.0%,0.12%,43.8%,44.2%,Forest,NA,51.5%,1,0
bewwre,Bewick's Wren,Thryomanes bewickii,44.0%,0.13%,43.8%,44.2%,Aridlands,NA,22.4%,0,1
carwre,Carolina Wren,Thryothorus ludovicianus,44.0%,0.09%,43.8%,44.2%,Forest,NA,67.5%,1,0
benthr,Bendire's Thrasher,Toxostoma bendirei,44.0%,0.55%,42.9%,45.1%,Aridlands,Tipping Point,0.1%,0,1
crithr,Crissal Thrasher,Toxostoma crissale,44.0%,0.31%,43.4%,44.6%,Aridlands,NA,2.3%,0,1
cubthr,Curve-billed Thrasher,Toxostoma curvirostre,44.0%,0.29%,43.4%,44.6%,Aridlands,NA,0.8%,0,1
lecthr,LeConte's Thrasher,Toxostoma lecontei,44.0%,0.70%,42.6%,45.3%,Aridlands,Tipping Point,0.1%,0,1
lobthr,Long-billed Thrasher,Toxostoma longirostre,44.0%,0.53%,43.0%,45.0%,Aridlands,NA,6.7%,0,1
calthr,California Thrasher,Toxostoma redivivum,44.0%,0.64%,42.8%,45.3%,Aridlands,NA,63.8%,1,0
brnthr,Brown Thrasher,Toxostoma rufum,44.0%,0.07%,43.9%,44.1%,Forest,NA,53.7%,1,0
lesyel,Lesser Yellowlegs,Tringa flavipes,44.0%,0.29%,43.4%,44.5%,Water/wetland,Tipping Point,18.0%,0,1
wantat1,Wandering Tattler,Tringa incana,43.0%,0.33%,42.3%,43.6%,Water/wetland,Tipping Point,4.8%,0,1
greyel,Greater Yellowlegs,Tringa melanoleuca,44.0%,0.17%,43.6%,44.3%,Water/wetland,NA,18.8%,0,1
willet1,Willet,Tringa semipalmata,43.4%,0.70%,42.0%,44.8%,Water/wetland,NA,33.6%,0,1
solsan,Solitary Sandpiper,Tringa solitaria,44.0%,0.09%,43.8%,44.2%,Water/wetland,NA,32.1%,0,1
houwre,House Wren,Troglodytes aedon,44.0%,0.05%,43.9%,44.1%,Forest,NA,47.0%,1,0
winwre3,Winter Wren,Troglodytes hiemalis,44.0%,0.11%,43.8%,44.2%,Forest,NA,76.0%,1,0
pacwre1,Pacific Wren,Troglodytes pacificus,43.4%,0.27%,42.9%,43.9%,Forest,NA,81.2%,1,0
amerob,American Robin,Turdus migratorius,44.0%,0.15%,43.7%,44.3%,Forest,NA,55.1%,1,0
grpchi,Greater Prairie-Chicken,Tympanuchus cupido,44.0%,0.36%,43.3%,44.7%,Grasslands,NA,67.9%,1,0
shtgro,Sharp-tailed Grouse,Tympanuchus phasianellus,44.0%,0.21%,43.6%,44.4%,Grasslands,NA,67.9%,1,0
coukin,Couch's Kingbird,Tyrannus couchii,44.0%,0.56%,42.9%,45.1%,Aridlands,NA,6.9%,0,1
grykin,Gray Kingbird,Tyrannus dominicensis,43.9%,2.90%,38.2%,49.5%,Forest,NA,24.5%,0,1
sctfly,Scissor-tailed Flycatcher,Tyrannus forficatus,44.0%,0.18%,43.7%,44.4%,Grasslands,NA,25.1%,0,1
easkin,Eastern Kingbird,Tyrannus tyrannus,44.0%,0.09%,43.8%,44.2%,Grasslands,NA,50.8%,1,0
weskin,Western Kingbird,Tyrannus verticalis,44.0%,0.13%,43.7%,44.2%,Grasslands,NA,22.0%,0,1
caskin,Cassin's Kingbird,Tyrannus vociferans,44.0%,0.21%,43.6%,44.4%,Forest,NA,11.0%,0,1
brnowl,Barn Owl,Tyto alba,44.0%,0.29%,43.4%,44.6%,Habitat Generalist,NA,19.1%,0,1
gowwar,Golden-winged Warbler,Vermivora chrysoptera,44.0%,0.23%,43.5%,44.4%,Forest,Tipping Point,77.3%,1,0
buwwar,Blue-winged Warbler,Vermivora cyanoptera,44.0%,0.19%,43.6%,44.4%,Forest,NA,77.4%,1,0
bkwvir,Black-whiskered Vireo,Vireo altiloquus,43.8%,4.90%,34.2%,53.4%,Forest,NA,55.0%,1,0
belvir,Bell's Vireo,Vireo bellii,44.0%,0.16%,43.7%,44.3%,Aridlands,NA,26.3%,0,1
casvir,Cassin's Vireo,Vireo cassinii,44.0%,0.16%,43.7%,44.3%,Forest,NA,67.6%,1,0
yetvir,Yellow-throated Vireo,Vireo flavifrons,44.0%,0.10%,43.8%,44.2%,Forest,NA,70.1%,1,0
warvir,Warbling Vireo,Vireo gilvus,44.0%,0.07%,43.9%,44.1%,Forest,NA,56.7%,1,0
whevir,White-eyed Vireo,Vireo griseus,44.0%,0.11%,43.8%,44.2%,Forest,NA,66.0%,1,0
hutvir,Hutton's Vireo,Vireo huttoni,44.0%,0.35%,43.3%,44.7%,Forest,NA,73.5%,1,0
reevir1,Red-eyed Vireo,Vireo olivaceus,44.0%,0.09%,43.8%,44.2%,Forest,NA,76.8%,1,0
phivir,Philadelphia Vireo,Vireo philadelphicus,44.0%,0.10%,43.8%,44.2%,Forest,NA,61.4%,1,0
plsvir,Plumbeous Vireo,Vireo plumbeus,44.0%,0.20%,43.6%,44.4%,Forest,NA,39.8%,0,1
buhvir,Blue-headed Vireo,Vireo solitarius,44.0%,0.11%,43.8%,44.2%,Forest,NA,74.8%,1,0
gryvir,Gray Vireo,Vireo vicinior,44.0%,0.29%,43.4%,44.6%,Forest,NA,8.5%,0,1
yehbla,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,44.0%,0.44%,43.1%,44.9%,Water/wetland,NA,16.1%,0,1
whwdov,White-winged Dove,Zenaida asiatica,44.0%,0.26%,43.5%,44.5%,Aridlands,NA,5.5%,0,1
moudov,Mourning Dove,Zenaida macroura,44.0%,0.06%,43.9%,44.1%,Habitat Generalist,NA,36.3%,0,1
whtspa,White-throated Sparrow,Zonotrichia albicollis,44.0%,0.08%,43.8%,44.1%,Forest,NA,58.8%,1,0
gocspa,Golden-crowned Sparrow,Zonotrichia atricapilla,43.9%,0.18%,43.5%,44.2%,Water/wetland,NA,39.8%,0,1
whcspa,White-crowned Sparrow,Zonotrichia leucophrys,44.0%,0.06%,43.9%,44.1%,Habitat Generalist,NA,26.9%,0,1
harspa,Harris's Sparrow,Zonotrichia querula,44.0%,0.16%,43.7%,44.3%,Water/wetland,Tipping Point,37.2%,0,1
