species_code,common_name,scientific_name,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_carbon,over_upper95,under_lower95
savspa,Savannah Sparrow,Passerculus sandwichensis,43.9%,0.07%,43.8%,44.1%,Grasslands,NA,25.2%,0,1
foxspa,Fox Sparrow,Passerella iliaca,43.9%,0.08%,43.8%,44.1%,Forest,NA,39.0%,0,1
lazbun,Lazuli Bunting,Passerina amoena,44.0%,0.11%,43.8%,44.2%,Forest,NA,45.9%,1,0
blugrb1,Blue Grosbeak,Passerina caerulea,44.0%,0.08%,43.8%,44.2%,Forest,NA,37.7%,0,1
paibun,Painted Bunting,Passerina ciris,44.0%,0.17%,43.7%,44.3%,Forest,NA,30.4%,0,1
indbun,Indigo Bunting,Passerina cyanea,44.0%,0.09%,43.8%,44.2%,Forest,NA,57.8%,1,0
varbun,Varied Bunting,Passerina versicolor,44.0%,0.64%,42.8%,45.2%,Aridlands,NA,1.1%,0,1
batpig1,Band-tailed Pigeon,Patagioenas fasciata,44.0%,0.35%,43.3%,44.7%,Forest,NA,87.5%,1,0
amwpel,American White Pelican,Pelecanus erythrorhynchos,43.9%,0.54%,42.8%,45.0%,Water/wetland,NA,45.2%,1,0
gryjay,Canada Jay,Perisoreus canadensis,44.0%,0.16%,43.7%,44.3%,Forest,NA,51.8%,1,0
cavswa,Cave Swallow,Petrochelidon fulva,44.0%,0.22%,43.6%,44.4%,Aridlands,NA,15.2%,0,1
cliswa,Cliff Swallow,Petrochelidon pyrrhonota,44.0%,0.08%,43.8%,44.2%,Habitat Generalist,NA,33.5%,0,1
bacspa,Bachman's Sparrow,Peucaea aestivalis,44.0%,0.67%,42.7%,45.3%,Forest,Tipping Point,67.8%,1,0
casspa,Cassin's Sparrow,Peucaea cassinii,44.0%,0.18%,43.6%,44.4%,Grasslands,NA,12.5%,0,1
phaino,Phainopepla,Phainopepla nitens,44.0%,0.33%,43.4%,44.7%,Aridlands,NA,7.8%,0,1
compoo,Common Poorwill,Phalaenoptilus nuttallii,44.0%,0.15%,43.7%,44.3%,Aridlands,NA,40.2%,0,1
renpha,Red-necked Phalarope,Phalaropus lobatus,43.0%,1.47%,40.1%,45.9%,Water/wetland,NA,5.4%,0,1
wilpha,Wilson's Phalarope,Phalaropus tricolor,43.9%,1.85%,40.2%,47.5%,Water/wetland,NA,8.9%,0,1
robgro,Rose-breasted Grosbeak,Pheucticus ludovicianus,44.0%,0.09%,43.8%,44.2%,Forest,NA,59.1%,1,0
bkhgro,Black-headed Grosbeak,Pheucticus melanocephalus,44.0%,0.12%,43.8%,44.2%,Forest,NA,53.5%,1,0
arcwar1,Arctic Warbler,Phylloscopus borealis,43.8%,0.25%,43.3%,44.3%,Water/wetland,NA,4.7%,0,1
bkbmag1,Black-billed Magpie,Pica hudsonia,44.0%,0.14%,43.7%,44.3%,Habitat Generalist,NA,50.3%,1,0
yebmag,Yellow-billed Magpie,Pica nuttalli,44.0%,1.40%,41.2%,46.8%,Forest,Tipping Point,27.6%,0,1
bkbwoo,Black-backed Woodpecker,Picoides arcticus,44.0%,0.43%,43.2%,44.9%,Forest,NA,98.4%,1,0
attwoo1,American Three-toed Woodpecker,Picoides dorsalis,44.0%,0.24%,43.5%,44.5%,Forest,NA,74.3%,1,0
pingro,Pine Grosbeak,Pinicola enucleator,44.0%,0.12%,43.8%,44.2%,Forest,NA,35.5%,0,1
gnttow,Green-tailed Towhee,Pipilo chlorurus,44.0%,0.13%,43.8%,44.2%,Aridlands,NA,45.5%,1,0
eastow,Eastern Towhee,Pipilo erythrophthalmus,44.0%,0.10%,43.8%,44.2%,Forest,NA,69.9%,1,0
spotow,Spotted Towhee,Pipilo maculatus,44.0%,0.09%,43.8%,44.2%,Forest,NA,52.1%,1,0
heptan,Hepatic Tanager,Piranga flava,44.0%,0.50%,43.0%,45.0%,Forest,NA,38.8%,0,1
westan,Western Tanager,Piranga ludoviciana,44.0%,0.10%,43.8%,44.2%,Forest,NA,57.1%,1,0
scatan,Scarlet Tanager,Piranga olivacea,44.0%,0.13%,43.7%,44.2%,Forest,NA,82.0%,1,0
sumtan,Summer Tanager,Piranga rubra,44.0%,0.11%,43.8%,44.2%,Forest,NA,62.2%,1,0
rosspo1,Roseate Spoonbill,Platalea ajaja,43.6%,0.53%,42.5%,44.6%,Water/wetland,NA,44.4%,0,0
snobun,Snow Bunting,Plectrophenax nivalis,43.8%,0.14%,43.5%,44.1%,Water/wetland,NA,24.4%,0,1
whfibi,White-faced Ibis,Plegadis chihi,44.0%,0.51%,43.0%,45.0%,Water/wetland,NA,18.5%,0,1
gloibi,Glossy Ibis,Plegadis falcinellus,44.0%,0.77%,42.5%,45.5%,Water/wetland,NA,51.3%,1,0
amgplo,American Golden-Plover,Pluvialis dominica,44.0%,0.42%,43.2%,44.8%,Water/wetland,Tipping Point,7.7%,0,1
pagplo,Pacific Golden-Plover,Pluvialis fulva,43.1%,0.49%,42.2%,44.1%,Water/wetland,NA,0.4%,0,1
bkbplo,Black-bellied Plover,Pluvialis squatarola,43.3%,1.07%,41.2%,45.4%,Water/wetland,NA,16.6%,0,1
