species,sum_cna
marwre,0.2774884083677638
mcclon,0.332823635377822
merlin,0.3467359968591026
mewgul,0.6756011247634888
mexjay4,0.3941278174018521
miskit,0.5820174011094259
motduc,0.34520366432450444
moublu,0.3186653798657393
mouchi,0.38510709948117583
moudov,0.42425355865452374
mouplo,0.20910366646141654
mouqua,0.6505503541224424
mouwar,0.5792133583735146
naswar,0.4988630620435025
nopowl,0.5750100651879393
norbob,0.4950029165549847
norcar,0.6305831073620992
norfli,0.4779038682580179
norgos,0.16573388003135436
norhar2,0.32304144462802453
normoc,0.5058686251927283
norpar,0.6918431420543618
norpin,0.23972364571380284
norsho,0.21107118046371365
norshr4,0.29718440739736707
norwat,0.4394684335691039
nrwswa,0.38638481121058366
nstspa,0.17153157910603783
nswowl,0.47506019259478127
nutwoo,0.6020388990937136
oaktit,0.7422918429392666
olispa,0.3605918688053862
olsfly,0.4151449579023181
orcori,0.5444809633799725
orcwar,0.4140729648476409
osprey,0.5157789962370316
ovenbi1,0.7164041282714656
pacwre1,0.4689675173770338
pagplo,0.5081834736156452
paibun,0.6442665592955447
palwar,0.5328352526548713
pasfly,0.49029655389200855
pecsan,0.11982507381912574
perfal,0.29430168167458737
phaino,0.2896806049943592
phivir,0.5381196929859176
pibgre,0.41244036976711573
pilwoo,0.7558261908653918
pingro,0.10801291641686683
pinjay,0.14034489468128442
pinsis,0.4798370205866086
pinwar,0.774315273382184
plsvir,0.3286435211840102
prafal,0.2934673892565236
prawar,0.7912174905702636
prowar,0.6268664635767216
purfin,0.5961025935979465
purgal2,0.5044085824075522
purmar,0.37890582668902095
pursan,0.792550960157314
pygnut,0.5182920905907804
pyrrhu,0.4797924164603158
rebmer,0.427227809687479
rebnut,0.5430475063435307
rebsap,0.5037198207640472
rebwoo,0.654434222912351
recwoo,0.8828178228157122
redcro,0.5112862727362291
redhea,0.4676523531099472
redkno,0.5628003240557611
reevir1,0.7073680271285552
refwar,0.4714099321292986
rehwoo,0.5497283160697544
rengre,0.3365382339906944
renpha,0.11671064247012433
rensap,0.3279533085658537
reshaw,0.6928140286741316
rethaw,0.39889218432509566
retloo,0.645745606576138
rewbla,0.3064663870144946
ribgul,0.3363043183004355
rinduc,0.36123835805184884
robgro,0.5428579072332873
rocsan,0.6375251308600943
rocwre,0.25562662305066564
rolhaw,0.32425963759341325
rosgoo,0.21007701904125933
rosspo1,0.3972509100502659
rthhum,0.6646382761709922
ruckin,0.4978660056240014
rucspa,0.5684965738137056
rudduc,0.3355092760823214
rudtur,0.48023563465148644
rufgro,0.6081545241857066
rufhum,0.3813234860094231
rusbla,0.3827930329439022
saggro,0.11919698963367953
sagspa1,0.11745643027534425
sagthr,0.18826259639735313
sancra,0.3455354784252836
sander,0.5359034270304539
savspa,0.36971683591666604
saypho,0.31997322834472985
scaqua,0.4903929649276506
scatan,0.780730494638221
scoori,0.3029452505739574
sctfly,0.5448015284644407
sedwre1,0.30606544242478334
semplo,0.25404097472691134
semsan,0.21379047239185522
shbdow,0.341234903307489
sheowl,0.25421668090678473
shshaw,0.4167672965573326
shtgro,0.4514743278754061
smilon,0.29462262212019186
snobun,0.18673707861953506
snoegr,0.3610614089072186
snogoo,0.23785346847185354
snoowl1,0.14927228195807452
solsan,0.3161719061869442
sonspa,0.4791094492343224
soogro1,0.2920187737016704
sora,0.26140362645880477
sposan,0.2982524986390338
spotow,0.4584313223552467
sprgro,0.031791081614922057
sprpip,0.3387798016887954
steeid,0.8740374445915222
stejay,0.5304094995044082
stisan,0.21123661489299675
sumtan,0.7360327149406756
surfbi,0.7557767825016981
sursco,0.7512946164611405
swahaw,0.4346282482778021
swaspa,0.46397137199490057
swathr,0.5217191290610277
swawar,0.8544291241946391
swtkit,0.662218714441314
tenwar,0.5653769838547102
towsol,0.3750227992329641
towwar,0.4512959211732721
treswa,0.34570081931608776
tribla,0.644990257552081
triher,0.4676460317330964
truswa,0.22777785346704027
