species_code,common_name,scientific_name,habitat,tipping_pt,avg_37pct,stdev_37pct,lower95_37pct,upper95_37pct,sum_cna,over_upper95_37pct,under_lower95_37pct,avg_44pct,stdev_44pct,lower95_44pct,upper95_44pct,sum_carbon,over_upper95_44pct,under_lower95_44pct
brthum,Broad-tailed Hummingbird,Selasphorus platycercus,Forest,NA,0.37000,0.00220,0.36600,0.37400,0.37700,1.00000,0.00000,0.44000,0.00220,0.43600,0.44400,0.60000,1.00000,0.00000
brwhaw,Broad-winged Hawk,Buteo platypterus,Forest,NA,0.37000,0.00340,0.36300,0.37700,0.64600,1.00000,0.00000,0.44000,0.00350,0.43300,0.44700,0.53300,1.00000,0.00000
btbwar,Black-throated Blue Warbler,Setophaga caerulescens,Forest,NA,0.37000,0.00200,0.36600,0.37400,0.69800,1.00000,0.00000,0.44000,0.00210,0.43600,0.44400,0.85200,1.00000,0.00000
btnwar,Black-throated Green Warbler,Setophaga virens,Forest,NA,0.37000,0.00120,0.36800,0.37200,0.65300,1.00000,0.00000,0.44000,0.00130,0.43700,0.44200,0.77200,1.00000,0.00000
btywar,Black-throated Gray Warbler,Setophaga nigrescens,Forest,NA,0.37000,0.00150,0.36700,0.37300,0.33700,0.00000,1.00000,0.44000,0.00160,0.43700,0.44300,0.44100,0.00000,0.00000
bubsan,Buff-breasted Sandpiper,Calidris subruficollis,Water/wetland,Tipping Point,0.37000,0.00850,0.35300,0.38600,0.23800,0.00000,1.00000,0.44000,0.00870,0.42300,0.45800,0.07600,0.00000,1.00000
buffle,Bufflehead,Bucephala albeola,Water/wetland,NA,0.36700,0.00280,0.36100,0.37200,0.36000,0.00000,1.00000,0.43600,0.00270,0.43100,0.44200,0.45300,1.00000,0.00000
buggna,Blue-gray Gnatcatcher,Polioptila caerulea,Habitat Generalist,NA,0.37000,0.00070,0.36900,0.37100,0.61400,1.00000,0.00000,0.44000,0.00070,0.43900,0.44100,0.56700,1.00000,0.00000
buhvir,Blue-headed Vireo,Vireo solitarius,Forest,NA,0.37000,0.00110,0.36800,0.37200,0.66000,1.00000,0.00000,0.44000,0.00110,0.43800,0.44200,0.74800,1.00000,0.00000
bulori,Bullock's Oriole,Icterus bullockii,Forest,NA,0.37000,0.00100,0.36800,0.37200,0.35400,0.00000,1.00000,0.44000,0.00110,0.43800,0.44200,0.25000,0.00000,1.00000
burowl,Burrowing Owl,Athene cunicularia,Grasslands,NA,0.37000,0.00180,0.36700,0.37400,0.39700,1.00000,0.00000,0.44000,0.00190,0.43600,0.44400,0.39800,0.00000,1.00000
bushti,Bushtit,Psaltriparus minimus,Forest,NA,0.37000,0.00190,0.36600,0.37400,0.30300,0.00000,1.00000,0.44000,0.00220,0.43600,0.44400,0.33800,0.00000,1.00000
buwtea,Blue-winged Teal,Spatula discors,Water/wetland,NA,0.37000,0.00160,0.36700,0.37300,0.29100,0.00000,1.00000,0.44000,0.00170,0.43600,0.44300,0.28100,0.00000,1.00000
buwwar,Blue-winged Warbler,Vermivora cyanoptera,Forest,NA,0.37000,0.00190,0.36600,0.37400,0.74500,1.00000,0.00000,0.44000,0.00190,0.43600,0.44400,0.77400,1.00000,0.00000
cacgoo1,Cackling Goose,Branta hutchinsii,Water/wetland,NA,0.36900,0.00350,0.36300,0.37600,0.26700,0.00000,1.00000,0.44000,0.00340,0.43300,0.44600,0.26800,0.00000,1.00000
cacwre,Cactus Wren,Campylorhynchus brunneicapillus,Aridlands,NA,0.37000,0.00260,0.36500,0.37500,0.32600,0.00000,1.00000,0.44000,0.00270,0.43500,0.44500,0.00400,0.00000,1.00000
calgul,California Gull,Larus californicus,Water/wetland,NA,0.36900,0.04450,0.28200,0.45600,0.11700,0.00000,1.00000,0.44100,0.04650,0.34900,0.53200,0.18500,0.00000,1.00000
calhum,Calliope Hummingbird,Selasphorus calliope,Forest,NA,0.37000,0.00230,0.36600,0.37500,0.44000,1.00000,0.00000,0.44000,0.00240,0.43500,0.44500,0.72800,1.00000,0.00000
calqua,California Quail,Callipepla californica,Aridlands,NA,0.37000,0.00260,0.36500,0.37500,0.48000,1.00000,0.00000,0.44000,0.00280,0.43500,0.44600,0.45600,1.00000,0.00000
calthr,California Thrasher,Toxostoma redivivum,Aridlands,NA,0.37000,0.00610,0.35800,0.38200,0.72400,1.00000,0.00000,0.44000,0.00640,0.42800,0.45300,0.63800,1.00000,0.00000
caltow,California Towhee,Melozone crissalis,Aridlands,NA,0.37000,0.00460,0.36100,0.37900,0.66100,1.00000,0.00000,0.44000,0.00510,0.43000,0.45000,0.53600,1.00000,0.00000
camwar,Cape May Warbler,Setophaga tigrina,Forest,NA,0.37000,0.00140,0.36700,0.37300,0.66200,1.00000,0.00000,0.44000,0.00150,0.43700,0.44300,0.76100,1.00000,0.00000
cangoo,Canada Goose,Branta canadensis,Water/wetland,NA,0.37000,0.00120,0.36800,0.37200,0.36300,0.00000,1.00000,0.44000,0.00120,0.43800,0.44200,0.44100,0.00000,0.00000
cantow,Canyon Towhee,Melozone fusca,Aridlands,NA,0.37000,0.00310,0.36400,0.37600,0.46600,1.00000,0.00000,0.44000,0.00330,0.43400,0.44600,0.03200,0.00000,1.00000
canvas,Canvasback,Aythya valisineria,Water/wetland,NA,0.37000,0.01880,0.33300,0.40700,0.36900,0.00000,0.00000,0.43900,0.01860,0.40300,0.47600,0.47200,0.00000,0.00000
canwar,Canada Warbler,Cardellina canadensis,Forest,Tipping Point,0.37000,0.00170,0.36600,0.37300,0.56300,1.00000,0.00000,0.44000,0.00180,0.43600,0.44300,0.77300,1.00000,0.00000
canwre,Canyon Wren,Catherpes mexicanus,Aridlands,NA,0.37000,0.00280,0.36500,0.37500,0.38700,1.00000,0.00000,0.44000,0.00280,0.43400,0.44500,0.27700,0.00000,1.00000
carchi,Carolina Chickadee,Poecile carolinensis,Forest,NA,0.37000,0.00110,0.36800,0.37200,0.75700,1.00000,0.00000,0.44000,0.00100,0.43800,0.44200,0.70500,1.00000,0.00000
carwre,Carolina Wren,Thryothorus ludovicianus,Forest,NA,0.37000,0.00090,0.36800,0.37200,0.72000,1.00000,0.00000,0.44000,0.00090,0.43800,0.44200,0.67500,1.00000,0.00000
casfin,Cassin's Finch,Haemorhous cassinii,Forest,NA,0.37000,0.00150,0.36700,0.37300,0.32300,0.00000,1.00000,0.44000,0.00150,0.43700,0.44300,0.73200,1.00000,0.00000
caskin,Cassin's Kingbird,Tyrannus vociferans,Forest,NA,0.37000,0.00200,0.36600,0.37400,0.34100,0.00000,1.00000,0.44000,0.00210,0.43600,0.44400,0.11000,0.00000,1.00000
casspa,Cassin's Sparrow,Peucaea cassinii,Grasslands,NA,0.37000,0.00170,0.36700,0.37300,0.43200,1.00000,0.00000,0.44000,0.00180,0.43600,0.44400,0.12500,0.00000,1.00000
caster1,Caspian Tern,Hydroprogne caspia,Water/wetland,NA,0.34800,0.01290,0.32300,0.37300,0.49700,1.00000,0.00000,0.41400,0.01310,0.38800,0.43900,0.35500,0.00000,1.00000
casvir,Cassin's Vireo,Vireo cassinii,Forest,NA,0.37000,0.00150,0.36700,0.37300,0.47600,1.00000,0.00000,0.44000,0.00160,0.43700,0.44300,0.67600,1.00000,0.00000
categr,Cattle Egret,Bubulcus ibis,Water/wetland,NA,0.37000,0.00500,0.36000,0.37900,0.59900,1.00000,0.00000,0.44000,0.00550,0.42900,0.45000,0.43300,0.00000,0.00000
cavswa,Cave Swallow,Petrochelidon fulva,Aridlands,NA,0.37000,0.00220,0.36600,0.37400,0.55800,1.00000,0.00000,0.44000,0.00220,0.43600,0.44400,0.15200,0.00000,1.00000
cedwax,Cedar Waxwing,Bombycilla cedrorum,Forest,NA,0.37000,0.00060,0.36900,0.37100,0.57500,1.00000,0.00000,0.44000,0.00060,0.43900,0.44100,0.55600,1.00000,0.00000
cerwar,Cerulean Warbler,Setophaga cerulea,Forest,Tipping Point,0.37000,0.00380,0.36300,0.37700,0.90600,1.00000,0.00000,0.44000,0.00380,0.43300,0.44800,0.93600,1.00000,0.00000
chbchi,Chestnut-backed Chickadee,Poecile rufescens,Forest,NA,0.37000,0.00300,0.36400,0.37600,0.55900,1.00000,0.00000,0.44000,0.00300,0.43400,0.44600,0.89900,1.00000,0.00000
chclon,Chestnut-collared Longspur,Calcarius ornatus,Grasslands,Tipping Point,0.37000,0.00200,0.36600,0.37400,0.37400,0.00000,0.00000,0.44000,0.00220,0.43600,0.44400,0.35500,0.00000,1.00000
chirav,Chihuahuan Raven,Corvus cryptoleucus,Aridlands,NA,0.37000,0.00310,0.36400,0.37600,0.32700,0.00000,1.00000,0.44000,0.00340,0.43300,0.44700,0.04300,0.00000,1.00000
chispa,Chipping Sparrow,Spizella passerina,Forest,NA,0.37000,0.00050,0.36900,0.37100,0.50600,1.00000,0.00000,0.44000,0.00050,0.43900,0.44100,0.50600,1.00000,0.00000
chiswi,Chimney Swift,Chaetura pelagica,Forest,Tipping Point,0.37000,0.00340,0.36300,0.37700,0.57100,1.00000,0.00000,0.44000,0.00340,0.43300,0.44700,0.56200,1.00000,0.00000
chswar,Chestnut-sided Warbler,Setophaga pensylvanica,Forest,NA,0.37000,0.00120,0.36800,0.37200,0.64900,1.00000,0.00000,0.44000,0.00130,0.43700,0.44200,0.78300,1.00000,0.00000
chwwid,Chuck-will's-widow,Antrostomus carolinensis,Forest,NA,0.37000,0.00170,0.36700,0.37300,0.82300,1.00000,0.00000,0.44000,0.00170,0.43700,0.44300,0.71000,1.00000,0.00000
cintea,Cinnamon Teal,Spatula cyanoptera,Water/wetland,NA,0.37000,0.00270,0.36500,0.37500,0.17200,0.00000,1.00000,0.44000,0.00280,0.43400,0.44500,0.15500,0.00000,1.00000
clagre,Clark's Grebe,Aechmophorus clarkii,Water/wetland,Tipping Point,0.37000,0.01280,0.34400,0.39500,0.35000,0.00000,0.00000,0.44000,0.01380,0.41300,0.46800,0.26800,0.00000,1.00000
clanut,Clark's Nutcracker,Nucifraga columbiana,Forest,NA,0.37000,0.00220,0.36600,0.37400,0.25700,0.00000,1.00000,0.44000,0.00210,0.43600,0.44400,0.84500,1.00000,0.00000
clcspa,Clay-colored Sparrow,Spizella pallida,Grasslands,NA,0.37000,0.00100,0.36800,0.37200,0.43200,1.00000,0.00000,0.44000,0.00100,0.43800,0.44200,0.37900,0.00000,1.00000
cliswa,Cliff Swallow,Petrochelidon pyrrhonota,Habitat Generalist,NA,0.37000,0.00080,0.36800,0.37100,0.35400,0.00000,1.00000,0.44000,0.00080,0.43800,0.44200,0.33500,0.00000,1.00000
cogdov,Common Ground Dove,Columbina passerina,Aridlands,NA,0.37000,0.00350,0.36300,0.37700,0.49500,1.00000,0.00000,0.44000,0.00340,0.43400,0.44700,0.27800,0.00000,1.00000
comgal1,Common Gallinule,Gallinula galeata,Water/wetland,NA,0.37000,0.00650,0.35700,0.38200,0.50300,1.00000,0.00000,0.44000,0.00640,0.42800,0.45300,0.55800,1.00000,0.00000
comgol,Common Goldeneye,Bucephala clangula,Water/wetland,NA,0.36800,0.00420,0.36000,0.37600,0.29800,0.00000,1.00000,0.43700,0.00430,0.42900,0.44600,0.44800,1.00000,0.00000
comgra,Common Grackle,Quiscalus quiscula,Habitat Generalist,NA,0.37000,0.01230,0.34500,0.39400,0.34800,0.00000,0.00000,0.44000,0.01290,0.41500,0.46500,0.37900,0.00000,1.00000
comloo,Common Loon,Gavia immer,Water/wetland,NA,0.36400,0.00400,0.35600,0.37200,0.42200,1.00000,0.00000,0.43300,0.00420,0.42400,0.44100,0.51400,1.00000,0.00000
