species,avg,stdev
bkbcuc,0.37004837134867363,0.001843706775961539
bkbmag1,0.37003155925173314,0.0013117870872239193
bkbplo,0.37021647089858295,0.011798156541541168
bkbwar,0.3700508968218911,0.001352028982669069
bkbwoo,0.3698185642398764,0.004100976655226249
bkcchi,0.3700326720800108,0.0011704357173644862
bkchum,0.36998547590315056,0.001767023698685351
bkcspa,0.36997490286914814,0.004334290820101656
bkhgro,0.3700121249300762,0.0011493545996323889
bknsti,0.3700316568123688,0.010107595810587419
bkpwar,0.3700501502044803,0.0010502690547530699
bktgna,0.37027828613332064,0.00328580343394361
bktspa,0.37003866644327216,0.001614311870385225
bkwvir,0.3713591504684182,0.04835886979889609
blctit4,0.37022235312616036,0.003481507059678352
blkpho,0.36993914235690634,0.002413981136905734
blksco2,0.36953075184642553,0.01094231251497346
blkswi,0.3696873964344357,0.006812182959424273
blkter,0.37020916136255594,0.00484855205023879
blkvul,0.3700051289769645,0.0014235592764636708
blugrb1,0.370019963602155,7.605392656880088e-4
blujay,0.3700217017236417,6.519185411242055e-4
bncfly,0.3702079918079684,0.0030737445167882613
bnhcow,0.3699092993340708,0.0025142777908327726
bnhnut,0.3699251290183823,0.002434393188084383
boboli,0.3701706108740204,0.0037211246262105783
bohwax,0.37015276667822417,0.0032404669757581535
bongul,0.3701919024213425,0.008027416417765896
borchi2,0.3700113484642453,0.0019258204285121114
botgra,0.3698973895502394,0.009788980196637414
brant,0.3695559028028562,0.024178383439835156
brdowl,0.37002949461776574,0.0010776443259466308
brebla,0.37003976895162854,0.0011651041969044215
brespa,0.3700539516653255,0.001102725850186557
britit,0.37001954377414586,0.008722709428393335
brncre,0.37000730610024024,7.812301386739722e-4
brnowl,0.3700045895388692,0.0029039635574615824
brnthr,0.36998839163384434,6.261078428313456e-4
brocow,0.37016593814165455,0.006519496574105324
brthum,0.37000799863619477,0.0022260080097272652
brwhaw,0.36998582521921086,0.00339886639562622
btbwar,0.3701022124571499,0.0019221530255730903
btnwar,0.37005688456213887,0.0012156353181236154
btywar,0.3699958120219034,0.0015136676307105344
bubsan,0.37014568522629704,0.00825860540685658
buffle,0.36996211128476125,0.00302116780035686
buggna,0.3700260694248865,6.948967936653511e-4
buhvir,0.37001013895566454,0.001055316556850476
bulori,0.3700225062784004,9.925474657560135e-4
burowl,0.37006851064768753,0.0018248225458926785
bushti,0.37007620016891685,0.0020493910933066933
buwtea,0.37012213079051337,0.0016588389802579574
buwwar,0.3701134996196147,0.0018724622545073686
cacgoo1,0.37014598241786895,0.0037788813287067545
cacwre,0.37014570958633314,0.0024596478892964808
calgul,0.36872516393453364,0.05117105601485401
calhum,0.36999849891673614,0.002442935812322709
calqua,0.3700869772962158,0.002682280258464125
calthr,0.3699522562092591,0.0062348273128993385
caltow,0.3701145256421962,0.004843987425508989
camwar,0.37003174582309356,0.0013939853404675861
cangoo,0.37002385844533603,0.00115369612939467
cantow,0.3700501261457847,0.0032236083110441563
canvas,0.3693089683659339,0.018750732655351196
canwar,0.37003481623182827,0.001623523705891717
canwre,0.3700921962175626,0.0028087783282740625
carchi,0.37002443744589875,9.942129004154225e-4
carwre,0.36999916604065897,9.064049154493361e-4
casfin,0.37004050337514655,0.001551550602520616
caskin,0.3699332446081379,0.0019904636290509485
casspa,0.369951289849753,0.001753478331186715
caster1,0.3709018381439449,0.014196263171507108
casvir,0.37002220167122657,0.0015966376238698886
categr,0.36991363903238683,0.005324612771886235
cavswa,0.37004389196269333,0.002212982016479938
cedwax,0.37001138791156724,5.982306518515718e-4
cerwar,0.3702179932754164,0.003731373745727572
chbchi,0.36995121992386176,0.003137014857450784
chclon,0.37008505021528487,0.002133078606423267
chirav,0.36999751940353104,0.0032137718470132107
chispa,0.37000924115242784,5.038598037411093e-4
chiswi,0.36995639191561364,0.0034330175944608716
chswar,0.37002538458997064,0.0012305431169779872
chwwid,0.3700404813124003,0.0016033774231146475
cintea,0.37003006157004203,0.0026321844768127474
clagre,0.36943058829838576,0.013546095545045588
clanut,0.3699377087146476,0.0021300136178696587
clcspa,0.3700152748156041,0.0010262642050592864
cliswa,0.3700080807918293,8.161336015168332e-4
cogdov,0.37006228309890926,0.00344062667152738
comgal1,0.3702747817777615,0.006224194689530826
comgol,0.37013728635804655,0.004308122362575357
comgra,0.369638527049822,0.01269946406149256
comloo,0.3701672895581468,0.004727986386425397
commer,0.3704321545826469,0.007815279096355175
comnig,0.3700300702509451,7.269019120455899e-4
compoo,0.3700438911125019,0.0014766826391566707
comrav,0.3699859643799979,6.443727516138703e-4
comred,0.3699950127885049,0.0011484568034799878
comter,0.369608427810934,0.02621443101058932
comyel,0.37000991952209944,5.962297379489948e-4
conwar,0.37006737758020447,0.005512301777634449
coohaw,0.3700179322443096,5.022052964607564e-4
corfly,0.37006450160369264,0.002373482225018828
coshum,0.37010305261069004,0.003271900564716494
coukin,0.3701037676260435,0.005377508577373236
cowscj1,0.36996173844034763,0.0039002360992917793
crithr,0.3700912620600626,0.003024816018521506
cubthr,0.3701802780231092,0.002693864047746046
daejun,0.3700069378618797,4.575990098470855e-4
dickci,0.37000815670184917,0.0012591890910148527
doccor,0.37024530336026434,0.008679284712310529
dowwoo,0.3700151199800375,6.626562146009636e-4
dunlin,0.3698293078899882,0.011865367194180697
dusfly,0.3700150926709427,0.0012766709065628115
dusgro,0.36986453916817846,0.0027745981148157356
eargre,0.36981764329001493,0.017939615511061345
easblu,0.37002585554585204,7.044420906603606e-4
easkin,0.37003402255693557,8.235062297270473e-4
easmea,0.3700124487501442,0.0010213883956028515
