species,sum_carbon
grycat,0.5476441143084809
gryfly,0.2974499355819904
gryjay,0.5118842176665823
grykin,0.20793171801233257
gryvir,0.08467807704052177
gwfgoo,0.1550830809821016
gycthr,0.6353888361062556
haiwoo,0.7503379706112026
hamfly,0.7180863167200638
harduc,0.09165200533798316
harspa,0.3718233620253715
henspa,0.4810902882722068
heptan,0.38802937944264926
hergul,0.6468500296915236
herthr,0.7132176893949911
herwar,0.8384201421252182
hoared,0.3559383709534525
hoomer,0.5615460958488083
hooori,0.0697829623634334
hoowar,0.8054456076886656
horgre,0.4934635340012097
horlar,0.26582214221253414
houfin,0.13677804125840687
houwre,0.4701394342144025
hrshaw,0.030564299874384915
hudgod,0.20348081429578346
hutvir,0.7342113076029051
incdov,0.10750851244722526
indbun,0.5780888105404816
juntit1,0.14752718685588206
kenwar,0.821454692988326
killde,0.25827028078747416
kineid,0.34165156109884265
kinrai4,0.7219194088746521
labwoo,0.10062208017772889
laplon,0.31707351168212616
larbun,0.2538410908795825
larspa,0.30306453834544467
lawgol,0.34105807405143196
lazbun,0.4588564022849928
leabit,0.5234219553686756
leafly,0.5356057048994335
leasan,0.16918068558793775
lecspa,0.2521838251744719
lecthr,5.865016864845529e-4
lesgol,0.22877716957822614
lesnig,0.008968278463203916
lessca,0.4199293874546535
lesyel,0.17378791043409356
lewwoo,0.6176767997419024
libher,0.4297889361399979
limpki,0.6050811740586681
linspa,0.38081930674947856
lobcur,0.15728938885733162
lobdow,0.1803058510774061
lobthr,0.06672198879095959
loeowl,0.31614301286850477
logshr,0.23585224212565237
lotduc,0.22386959430727793
louwat,0.8304537254126607
lucwar,0.017807060241210593
macwar,0.5520766673892954
magwar,0.6624349521301376
mallar3,0.38229888652894406
margod,0.27647237244425305
marwre,0.2919995269441451
mcclon,0.306894978601401
merlin,0.37588147309159936
mewgul,0.4070097617805004
mexjay4,0.2963926197226101
miskit,0.3993373197255401
motduc,0.4564396765479053
moublu,0.3396386471423973
mouchi,0.8573466958096967
moudov,0.36281605350047386
mouplo,0.14410786131642794
mouqua,0.914811757538045
mouwar,0.8019937811639615
naswar,0.5806310778757677
nopowl,0.9238735268171467
norbob,0.34672511930761535
norcar,0.549021118669741
norfli,0.5343731770703606
norgos,0.4766270351041966
norhar2,0.3214315751775074
normoc,0.31624804183224453
norpar,0.7389616519496425
norpin,0.28296382091402633
norsho,0.2233127405980614
norshr4,0.47975244346113044
norwat,0.5618984947539686
nrwswa,0.39143735368633326
nstspa,0.24490639816374
nswowl,0.8667972758401368
nutwoo,0.4512646544653762
oaktit,0.6665835457124558
olispa,0.06163250950612564
olsfly,0.5476338685085915
orcori,0.4909847284051583
orcwar,0.4527578610243217
osprey,0.5775422541768265
ovenbi1,0.8572638873003839
pacwre1,0.8352854292048315
pagplo,0.2643729299088591
paibun,0.3032938215776011
palwar,0.5538334506033715
pasfly,0.6412366417356239
pecsan,0.12149609972960476
perfal,0.331181873404391
phaino,0.0784872463545393
phivir,0.6137117030865351
pibgre,0.43320739511781614
pilwoo,0.797642100785211
pingro,0.423151195343451
pinjay,0.12667151352996342
pinsis,0.6499317354966309
pinwar,0.7224623933668761
plsvir,0.3977916574668914
prafal,0.36141376147471505
prawar,0.7539717245686454
prowar,0.6907353355071679
purfin,0.6847031917789539
purgal2,0.6864133466612461
purmar,0.3883609124383628
pursan,0.11645147742903816
pygnut,0.7990821608867917
pyrrhu,0.02806851063723581
rebmer,0.3965914153813682
rebnut,0.8322772098343374
rebsap,0.8174184203688242
rebwoo,0.6228088958344458
recwoo,0.8304659180611389
redcro,0.8559810427909259
redhea,0.3679586909889424
redkno,0.2643031244958196
reevir1,0.7676967325308668
refwar,0.8936294006431353
rehwoo,0.5156669110077312
rengre,0.402940682010656
